synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
|liha-|liha-|s. yhd.||мясной|liha-|||||||||||||||
veza, vezaine|roskaine|roska/ine, -ižen, -šte; -ižid|s.|роскайнэ|росток|vesa, itu|||||||||||||||
|rott I|ro/tte, -tan|s.|||rotta|||||||||||||||
|rott II|rotte (RKS)|s.|ротэ|рота|komppania|||||||||||||||
iho, silmäd|roža|roža, -n, -d|s.|рожа|рожа|kasvot, naama|||||||||||||||
|ruad|ruad/o, -on, -od; -uoid|s.|руадо|работа|työ|||||||||||||||
|ruadi|ruadi|a. taipum.|руади|рад|iloinen, halukas (tekemään)|||||||||||||||
|ruam|ruam/e, -an, -d (RKS)|s.|руамэ|рама|kehys|||||||||||||||
|ruan|ruan/e, -an, -d; -uoid|s.|руанэ|рана|haava|||||||||||||||
|ruata|rua/ta, -dan, -duoin|v.||работать|työskennellä, tehdä|ruadan (RKS)|руадан|тружусь, делаю|työskentelen, teen|||||||||||
|ruata||v.||||(TP) mide ruadad?||чего делаешь?|mitä teet?|||||||||||
|ruata||v.||||seppe ruadau (RKS)|сэппэ руадау|кузнец работает|seppä työskentelee|||||||||||
|ruata||v.||||Miikul ruadau traktor'istan||Мийкул работает трактористом|Miikul toimii traktoristina|||||||||||
|ruavaz|(Lm) ruavas|a.||||||||||||||||||
|rubi|(Lm) rub/i, -en, -ed; -id|s.||||||||||||||||||
|ručk|ručk/e, -an, -ad|s.|ручкэ|ручка|kädensija, ripa, sanka, varsi (teräskynän)|||||||||||||||
raudmua|ruda|ruda, -n, -d|s.|руда|руда|malmi, rautamuta|||||||||||||||
|rugiž|rug/iš, -ehen, -ište; -ehid|s.|ругишь|рожь|ruis|rugiš kazvau pelduois||рожь растеёт в полях |ruis kasvaa pelloissa|||||||||||
ruppi; rupud|rupid|rupi/d ~ -t (RKS)|s. mon.|рупит|морщины|rypyt|||||||||||||||
rupid; rupp|ruppi|ru/ppi, -pin, -ppid|s.|руппи|морщина|ryppy|||||||||||||||
|ruumen|ruumen, -nen|s.|румэнъ|мякина||||||||||||||||
|ruume|ruume|s.||||||||||||||||||
|rügida|rügi/dä, -n, -in|v.||||rügin (RKS)|рюгин|кашляю|yskin|||||||||||
|rügind|rügind/e, -än|s.|рюгиндэ|кашель|yskä, rykiminen|||||||||||||||
rind|ründäz|ründä/z ~ -s (RKS), -hän|s.|рюндяс|грудь, грудная клетка|rynnäs, rinta, rintakehä|||||||||||||||
rädžähtuttada|rädžäittada|räd'žäi/ttäi, -tän, -t'in|v.||делать с треском, скрипеть (зубами, RKS)|räsähdyttää|räžäitän (RKS)|ряжайтан|скриплю (зубами)|rähisen|||||||||||
|räkk|räkki|a.|рякки|жаркий, знойный; жар, зной; жарко|kuuma, helteinen; kuumuus, helle; kuumaa|(V) räkki päive||жаркий день|kuuma päivä|||||||||||
heikkada, kirguda, mälišta, mömmettada, ravišta, ringuda, rängüda, vonguda|röngüda|(Lm) röngü/dä, -n, -in|v.||реветь, рычать|kiljua, ammua|||||||||||||||
heikkada, kirguda, mälišta, ravišta, ringuda, röngüda, vonguda|rängüda|rängü/dä, -n, -in|v.||кричать, орать|huutaa, ränkyä, kiljua, ärjyä|rängün (RKS)|ряньгюн|реву, кричу|huudan|||||||||||
|rängüda||v.||||älä rängü! (RKS)|аля рянгю|не реви!, не кричи!|älä huuda!|||||||||||
|ringuda|(V) ringu/da, -n, -in|v.||||||||||||||||||
kolahtada|röpsähtadakse||v. refl.||свалиться, рухнуть|repsahtaa, retkahtaa|röpsäht'ihe||он свалился|retkahti|||||||||||
|röhkäda||v.||||röhkän (RKS)|рёхкян|хрюкаю|röhkin|||||||||||
|rötk|ret'k/e, -an, -ad; -uoid|s.|редькэ|редька|retikka|||||||||||||||
pihild', räbin|pihl'|pih/l'e, -l'an ~ -l'än, -l'ad ~ -l'äd; (V) pihl'ai|s.||рябина|pihlaja|||||||||||||||
pihl', pihild'|räbin|räbin, -än, -äd; (V) r'äbin |s.|рябинъ|рябина|pihlajanmarja (LyP); pihlaja|||||||||||||||
|räbinčiučoi|(Lm) räbin/čiučuoi|s. yhd.||снегирь|punatulkku|||||||||||||||
sabilahad|sabilaz|(V) sabilas|s.||||||||||||||||||
sabilaz|sabilahad|sabilaha/t (RKS) ~ (Lm) -d|s. mon.|саба-лагат|носилки (для сена)|sapilaat, paarit|||||||||||||||
sadahine|sada|sad/a, -an, -ad; -uoid ~ (Pv) -oid|num.||сто; сотня, сотка|sata; satanen|sada üks (RKS)||сто один|sata yksi|||||||||||
|sada||num.||||sada ükstošt (RKS)||сто одиннадцать|sata yksitoista|||||||||||
|sada||num.||||sada kakskümen (RKS)||сто двадцать|sata kaksikymmentä|||||||||||
|sada||num.||||sada kakskümen viiž (RKS)||сто двадцать пять|sata kaksikymmentä viisi|||||||||||
|sada||num.||||sada tuhad (RKS)||сто тысяч|sata tuhatta|||||||||||
|sada||num.||||tuha sadan kerä (RKS)||тысяча сто|tuhat ja sata|||||||||||
|sada||num.||||tuha sadan kerä ükstošt (RKS)||тысяча сто одиннадцать|tuhat ja sata yksitoista|||||||||||
|sada||num.||||tuha sadan kerä kakskümen üks (RKS)||тысяча сто двадцать один|tuhat ja sata kaksikymmentä yksi|||||||||||
sada, sadandž|sadahine|sadahi/ne, -žen, -št; -židen, -žid; (V) sadahiine|num.||сотый; сотенная, сотка|sadas; satanen, sadan ruplan seteli|||||||||||||||
sadahine|sadandž|(V) sada/nz'i ~ (Pv) -s', -nden, -t|num.||сотый|sadas|||||||||||||||
|sadu|sadu|s.|саду|сад|puutarha|||||||||||||||
|sadul'|(Lm) sadu/li ~ (TP) -l'i|s.||||||||||||||||||
|sagarm|sagarv/o, -on, -od; -uoid|s.|сагарво|выдра|saukko|sagarvod||выдры|saukot|||||||||||
šaglad|šagl |(V) šagl/e, -an, -ad |s.||жабра|kidus|||||||||||||||
šagl|šaglad|šaglad |s. mon.||жабры|kidukset|||||||||||||||
|said|said/e, -an, -ad (RKS)|s.|сайдэ|сайда|saita,  seiti|||||||||||||||
|šaik|šai/kke, -kan, -kkad; -kuoid|s.|шайкэ|шайка|kiulu|||||||||||||||
salag, salak|salat'|sala/t't'i, -t'in, -t't'id|s.|салатти|верховодка (RKS), салага, уклейка|salakka|(Lm) äijän unoht'in sanad ||много слов я забыла|paljon sanoja unohdin|||||||||||
toramiez|saldat|salda/tte, -tan, -tad; -tuoid|s.||солдат|sotilas, sotamies|||||||||||||||
|sambuda|sammu/da, -u, -i|v.||||sammuu|саммуу|гаснет|sammuu|||||||||||
|sambuttada|sammu/ttai, -tan, -t'in|v.||||sammutan|саммутан|гашу|sammutan|||||||||||
|samvar|samovar (RKS)|s.|самовар|самовар|teekeitin, samovaari|kabaloita ümbär'i samovuaran||обмотать (вокруг) самовар|kääriä samovaari ympäri|||||||||||
|sana|san/a, -an, -ad; -uoid ~ -oid|s.|сана|слово|sana|minä en t'ieda nämid sanuoid ~ sanoid |эн тиэда|я не знаю этих слов|minä en tiedä näitä sanoja|||||||||||
|sana||s.||||(Ka) ai on sanad||много слов|paljon sanoja|||||||||||
|sana||s.||||(Lm) äijän unoht'in sanad ||много слов я забыла|monta sanaa olen unohtanut|||||||||||
pagišta, virkkada|sanuda|san/oda, -on, -uoin; -ou, -uoi; (Ka) san/uda, -un ~ -on, -uon; (AV)  san/uda, -un|v.||сказать, говорить|sanoa, kertoa|sanon kümmene kierad (RKS)|санон кюмэнэ кирят|твержу, говорю десять раз|sanon kymmenen kertaa|||||||||||
|sanuda||v.||||(Ka) mina sanun||я скажу|minä sanon|||||||||||
|sanuda||v.||||(Ka) mina sanuon||я сказала|minä sanoin|||||||||||
|sanuda||v.||||sanogat!||скажите!|sanokaa!|||||||||||
|sapp|sappi|s.|саппи|железа (у рыб)|rauhanen|||||||||||||||
|sarahein|sora/heine (RKS)|s. yhd.|сора гэйнэ|осока|saraheinä|||||||||||||||
|sarai|sarai, -n, -d; -luoid ~ (TP) -loid|s.|сарай|сарай|saraja; lato (LyK)|||||||||||||||
diezdad, saraidiezd|saraipordahad|sarai/pordahad|s. yhd. mon.|сарай|заезд на сеновал, пандус|sarajan silta, navetan parven silta|||||||||||||||
batog, kepp, pualik, ruag, seibaz, suks'savak|savak|sava/kko, -kon, -kkod; -kuoid|s.|савакко|палка, лыжная палка, клюка, шест|sauva, suksisauva, keppi|savakol išketäh||шестом бьют|sauvalla isketään|||||||||||
|savak||s.||||pitkäd savakod moižed||длинные шесты такие|sellaiset pitkät sauvat|||||||||||
|savi|sav/i, -en, -ed|s.|сави|глина|savi|||||||||||||||
|savu|savu, -n, -d; -id|s.|саву|дым|savu|||||||||||||||
|savuta|savu/ta, -dan|v.||дымить||savudan (RKS)|савудан|дымлю|savuan|||||||||||
ned; neče, tämä|se|se, sen, sidä|pron. yks.|сэ|то, тот, это|se, tämä|üks on se||это тот же самый (гриб)|se on sama|||||||||||
|se||pron. yks.||||(Pn) müö tulimme sidä dorogad müöti (OLR 46)||мы пришли по той дороге|me tulimme sitä tietä pitkin|||||||||||
|se||pron. yks.||||sih ol'i kir'utettu||на нём было написано|siihen oli kirjoittetu|||||||||||
neče, se; nene|ned|n'ed, n'iilüöiden, n'iid ~ n'iilüöid; (Pv) n'ed, n'iiden, n'iid|pron. mon.||те|ne|||||||||||||||
neče, se; ned|nene|nenne, nen'id|pron. mon.||те|ne|||||||||||||||
|segoitettu|segoitettu|a.||замешанный, замешенный (тесто), запутанный|sekoitettu, sekava; alustettu, sotkettu|segoitettu tahtas (RKS)|сэгойтэтту тахтас|опара|taikinanjuuri, alustettu taikina|||||||||||
|seibaz|seibä/s, -hän, -ste, -hid|s.|сейбяз|аншпуг (RKS)|koskikanki|||||||||||||||
|sein|sein/e, -än, -äd; -id|s.|cэйнэ|стена|seinä|||||||||||||||
|seižuda|seižo/da, -n|v.||||seižon|сэйжон|стою|seison|||||||||||
seld'|seldid|sel'd'it (RKS)|s. mon.|сельдит|сельди|sillit|||||||||||||||
|selgittada I|selgi/ttäi, -ttäu, -tti|v.||одевать, наряжать|pukea|selgitän|сэльгитян|одеваю|puen|||||||||||
|ilmoi|Ilmoi|hn.||Илмаринен|Ilmarinen, Ilmari|(Bar) lähti Ilmoi kulgemah (NFL) kansanr.||двинулся Илмаринен (дальше)|lähti Ilmarinen kulkemaan|||||||||||
|Ilmallinen|Ilmal'l'i/ne, -žen|hn.||Илмаринен|Ilmarinen|(Bar) sepuoi Ilmal'l'ine pajas ruadau (NFL) kansanr.||кователь Илмаринен в кузнице работает|seppo Ilmarinen pajassa työskentelee|||||||||||
|sepoi|sepuoi ~ seppoi, -n, -d|s. dem.||кователь, кузнец (в рунах)|seppo (kansanr.)|(Bar) sepuoi Ilmal'l'ine pajas ruadau (NFL) kansanr.||кователь Илмаринен в кузнице работает|seppo Ilmarinen pajassa työskentelee|||||||||||
|sepp|se/ppe, -pän, -ppäd|s.|сэппэ|кузнец|seppä|seppe ruadau (RKS)|сэппэ руадау|кузнец работает|seppä työskentelee|||||||||||
|sepp||s.||||seppe azuu raudas kaikked luadud raudebrujad||кузнец изготавливает из железа железные вещи всякого свойства|seppä tekee raudasta kaikenlaisia rautaesineitä|||||||||||
|paja|paj/a, -an, -ad; -uoiden, -uoid|s.||||(Bar) sepuoi Ilmal'l'ine pajas ruadau (NFL) kansanr.||кователь Илмаринен в кузнице работает|seppo Ilmarinen pajassa työskentelee|||||||||||
čiihoi|sestroi|ses(t)r/uoi, -uoin, -uoid; -oluoid; (TP) sestroi; (SP) sesroi|s.|сэструой|смородина|herukka (Ph), punaherukka (lyP)|rusked sestruoi (RKS)||красная смородина|punaherukka|||||||||||
|sestroi||s.||||muste sestruoi (RKS)||чёрная смородина|mustaherukka|||||||||||
|sestroi||s.||||ruskedad i mustad sesruoid (LMS 383)||красные и чёрные смородины|puna- ja mustaherukat|||||||||||
|Siber'|S'iberi, -s|pn.||Сибирь|Siperia|S'iberis piäi ol'i häi||из Сибири был он|hän oli Siperiasta|||||||||||
|sidoda|sido/da, -n|v.||||||||||||||||||
|siegl|s'iegl/e, -an, -ad; -uoin|s.||||||||||||||||||
|siemen|siemen, -en|s.|сиэмэнъ|семя|siemen|||||||||||||||
griba, siened|sien'|sie/n'i, -nen, -nte; -n'id|s.||рыжик, гриб|sieni, herttasieni|(Ph) harmagad siened||серые грибы|harmaat sienet|||||||||||
gribad, sien'|siened|sie/ned, -n'iden, -n'id|s. mon.|сиэнэт|рыжики, грибы|sienet, herttasienet|(Ph) harmagad siened||серые грибы|harmaat sienet|||||||||||
dälges, vie|siid I|siid  ~  sid ~ siite(n)  ~ (Lm) sit  ~ (AV) siide|adv.||потом, затем, после, тогда, ещё|sitten, niin, silloin, vielä|siid pelvas pandah ligoh vedeh (LMS 304)||потом лён отмачивают в воде|sitten pellavat pannaan likoon|||||||||||
|siig|siig/e, -an, -ad|s.|cигэ|сиг|siika|||||||||||||||
siig|siigaine|siiga/ine, -ižen, -šte; -ižiden, -ižid|s.|cигэ|сиг (маленький), сижок|siika (pieni)|||||||||||||||
|siir|siiru, -n, -d|s.|сыру|сыр|juusto|||||||||||||||
|siirdelta|sirde/lta, -len, -l'in|v. frekv.||перемещать, передвигать|siirrellä|sirdelen (RKS)|сирдэлэн|двигаю|siirtelen|||||||||||
|siirtakse|sirtäkse|v. refl.||||sirte!  (RKS)|сиртэ!|подвинься!|siirry!|||||||||||
siegl|siit|sii/tte (RKS) ~ žii/tte, -tan, -ttad (LMS 391)|s.|сийтэ|сито|seula|||||||||||||||
|siim|(V) siim/e, -an, -ad|s.||||||||||||||||||
|šiižm|šiižm/e, -an, -ad|s.|шижмэ|сковородник, съёмная ручка|riehtilän irtovarsi|||||||||||||||
|sija|sija, -n, -d|s.||место|sija, paikka, kohta|toižeh sijah ajan (RKS)|тойжэх сиях аян|переезжаю в другое место|muutan toiseen paikkaan|||||||||||
|sild|sild/e, -an, -ad; -uoid|s.|силдэ|мост, настил|silta|||||||||||||||
sentähte|sikš|sikse|adv.||потому, поэтому, оттого, из-за того, зато (KTK)|siksi, sen vuoksi, sen takia, sitä varten, jonkin verran|mikse on azuttu, sikse||зачем (он) сделан, затем|mitä varten on tehty, sitä varten|||||||||||
|siled|siled (RKS)|a.|силэтъ|гладкий; гладко|sileä|||||||||||||||
|silittada|sil'i/ttädä, tän, -t'in (LMS 387)|v.||гладить|silittää|sil'itän (RKS)|силитян|глажу|silitän|||||||||||
|silm|silm/e, -än, -äd; -id; (SP) silm|s.|сильмэ|глаз|silmä|silmäl išköu (RKS)|сильмял ишкеу|мигает (глазом)|räpäytelee silmää|||||||||||
|silm||s.||||(SP) südäi sormel silmäh||тыкнул пальцем в глаз|pisti sormensa silmään|||||||||||
|silm||s.||||möl'gеt'in sil'mäd (RKS)|мёльгэтин сильмяд|я вытаращил глаза|avaan silmäni ammolleen|||||||||||
silm|silmäd|silm/äd, -id|s. mon.||||möl'gеt'in sil'mäd (RKS)|мёльгэтин сильмяд|я вытаращил глаза|avaan silmäni ammolleen|||||||||||
sinna|sinne|sinne ~ s'inne|adv.||||mänd'ihe sinne Suomehe (TTV)||уехали туда в Финляндию|lähtivät sinne Suomeen|||||||||||
sinne|sinna|sinnä ~ (AV) sinna|adv.||||||||||||||||||
tüö|sina|sinä (WPE 20, LMS 388) ~ s'inä (RKS, LMS 388, OFM) ~ s'ina (OFM), s'inun, s'inud ~ sinudaiš (WPE 20), s'inuh, s'inul, s'inule ~ sinulleiš (WPE 20);  (Lm) sinä (LMS 388) ~ sina (OFM);  (Ka, Pv, V) s'ina, -nun, -nud, -nul, -nule|pron. yks.|синя|ты|sinä|s'inun (RKS)|синун|твой|sinun|||||||||||
|sina||pron. yks.||||s'ina pezetökse d'älgez minud ||ты будешь мыться после меня|sinä peseydyt minun jälkeeni|||||||||||
|sina||pron. yks.||||hullaidaž kaku s'inud (NFL 516)||чтоб тебя парализовало|kunpa saisit halvauksen|||||||||||
|sina||pron. yks.||||s'inuh ei tartu n'i mi||к тебе не пристанет ничто|sinuun mikään ei tartu|||||||||||
|šina|šin/e ~ (Lm, V) -a, -an, -ad; -uoid (LMS 388)|s.|шинэ|шина|pyöränvanne, rauta-antura (reen)|||||||||||||||
sinčad, sienč|sinčoi|senčuoi  ~ sen'čuoi~ (TP) senčoi|s.|сенчуой|сени|eteinen, porstua|||||||||||||||
|sinine|sin'i/ne, -žen, -šte; -žid|a.|сининэ|синий|sininen|||||||||||||||
|sin'k|sin'ke (RKS)|s.|синькэ|синька|siniväri|||||||||||||||
|širm|širme (RKS)|s.|ширмэ|ширма|seinäke|||||||||||||||
pask|sitt|šitte ~ šittu (RKS, LMS 389) |s.|шиттэ ~ шитту|кал; грязь|uloste, paska|vieras šitte (RKS)|виэрас шиттэ|чесотка (чужая грязь)|vieras lika|||||||||||
|sizar|siza/r ~ (V) siza/r', -ren, -rte|s.|сизар|сестра|sisar|minun sizarele (RKS)||моей сетре|minun sisarelleni|||||||||||
|šiželik|šiželihhe (RKS) ~ šiželihk/ö, -ön, -öd; -üöid (LMS 389); (V) šiželihk/o, -on, -od; -uoid |s.|шижэлиххэ|ящерица|sisilisko|||||||||||||||
tark|skuup|(TP) skuu/ppe, -pan|a.||скупой|saita|||||||||||||||
selg, sivud|sivu|(V) sivu|s.||||||||||||||||||
|siä|(TP) siä|s.||||||||||||||||||
losnida|šiäjida||v.||||šiäjiu (RKS)|шяиу|сияет|loistaa|||||||||||
šlejad|šleja|šleja, -n, -d|s.|шлея|шлея|mäkivyö|||||||||||||||
šleja|šlejad|(TP) šlejad|s. mon.||шлея|mäkivyöt|||||||||||||||
sliifkad|sliifk|sliufke  ~ (Lm) sliuhke ~ (TP) sliifke ~ (V) slifke|s.||сливки|kerma|||||||||||||||
sliifk|sliifkad|slifkat (RKS)|s. mon.|сливкат|сливки|kerma|||||||||||||||
hatt, šuapuk|šliäp|šliä/ppe (RKS) ~ šliä/p(p) (LMS 393), -pän|s.|шлияпэ|шляпа|hattu, liierihattu|||||||||||||||
|sluav|sluav/e, -an, -ad|s.|слуавэ|молва|maine|||||||||||||||
klukkada|šl'ukkada|šl'u/kkada, -kan|v.||икать|nikotella|šl'ukan (RKS)|шлюкан|икаю|nikottelen|||||||||||
soba|sobad|sob/ad, -iden, -id|s. mon.||||(TP) ezmäi ligotetah sobad||сперва вымачивают одежду|ensin liotetaan vaatteet|||||||||||
paid; sobad|soba|sob/a, -an, -ad; -iden, -id|s.|соба|одежда, бельё; рубаха, рубашка|vaate; paita (miehen)|(TP) ezmäi ligotetah sobad||сперва вымачивают одежду|ensin liotetaan vaatteet|||||||||||
