synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|v.|puolištada|puol’iš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|заступаться|puolustaa|||||||||
punoda|v.|püörittada|püör’i/tada (IL) ~ püörü/tädä (KTK), -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|вертеть, вращать|pyörittää|häin püörütab (KTK)|он вращает|hän pyörittää||||||
|v.|püörittada||||rubeta püör’itamaha (IL)|завертеть|alkaa pyörittää||||||
|s.|puretuz|puretu/z, -sen, -st; -s’iin, -s’iid|жвачка|puru|||||||||
puretelta|v. frekv.|puroitelta|puruute/l’da, -l’ob, -l’ ~ -l’ii|кусать, покусывать, жевать|pureskella|||||||||
|a.|puskič|(Pal) buskič (IL)|бодливый|puskeva|||||||||
|s.|pustišk|pustišk, -an, -ad|пустышка|ontto esine; tutti; tyhjäpäiväinen ihminen|||||||||
burak|s.|puzu|puzu, -n, -d; -id|берестянка, корзина из берёсты, туес|tuohiastia (sylinterimäinen), tuohikori (KTK)|||||||||
|s.|put’ofk|put’ofk, -an, -ad|путёвка|lähetyspaperi|||||||||
|a.|putilline|put’il’i/in’e, -ižen, -št; -ižiin, -ižiid|путный|kunnollinen|||||||||
|a.|puuhine|puuhi/in’e, -ižen, -št; -ižiin, -ižiid|деревянный; древесный|puinen, puu-|||||||||
|s.|puuhud|puuhut, -den, -tt|деревце, деревцо|puu (pieni)|||||||||
|s.|puzur’|puzir’ ~ puzur' (KTK), -in, -id; -iin, -iid|пузырь|kupla|||||||||
|v.|püzüda|(Pal) pižu/da, -b, -i; -taze, -t’ihe|держаться, продержаться|pysyä|||||||||
päčinlaud|s. yhd.|päččlaud|päčč/laud (IL)|заслонка (печи)|uuninsuuluukku, uuninsuupelti (irrallinen)|||||||||
päččlaud|s. yhd.|päčinlaud|päči- ~ päčin/laud (KTK)|заслонка (печи)|uuninsuuluukku, uuninsuupelti (irrallinen)|||||||||
pölgästada, pölgätelta|v.|pölgättada|pöl’gä/tada, ~ (Pal) pel’gä/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|пугать, испугать, напугать, перепугать, запугать, страшить, устрашать, вспугивать, вспугнуть|pelottaa, pelotella, pelästyttää, säikäyttää, säikähdyttää|miä pöl’gät’iin (KTK)|я напугал|minä pelästytin||||||
|v.|pölgättada||||häin pöl’gät’ii (KTK)|он вспугнул|hän säikäytti||||||
|v.|pölgättada||||pöl’gätetaze laps'iid (OF)|пугают детей|pelotellaan lapsia||||||
|v.|pölgättada||||hüö pöl’gätat’ihe mindaa surmhasaa (KTK)|они запугали меня до смерти|he pelästyttävät minut kuoliaaksi||||||
|adv.|raccahil|rachiil ~ racciil|верхом (где)|ratsain, selässä|||||||||
raccahil|adv.|raccahile|rachiil'e ~ raccahiil'e (kansanr.)|верхом (куда)|selkään|n'eiduin'e Muar'iin'e nouz' hebol'e raccahiil'e (OFMa) loits.|девушка Муарий села на лошадь верхом|neitonen Maaria nousi hevosen selkään||||||
neidine|s. dem.|neiduine|n'eiduin'e (kansanr.)|девушка|neitsyt, neitonen|n'eiduin'e Muar'iin'e nouz' hebol'e raccahiil'e (OFMa) loits.|девушка Муарий села на лошадь верхом|neitonen Maaria nousi hevosen selkään||||||
|s.|hebo||||n'eiduin'e Muar'iin'e nouz' hebol'e raccahiil'e (OFMa) loits.|девушка Муарий села на лошадь верхом|neitonen Maaria nousi hevosen selkään||||||
|v.|nousta||||n'eiduin'e Muar'iin'e nouz' hebol'e raccahiil'e (OFMa) loits.|девушка Муарий села на лошадь верхом|neitonen Maaria nousi hevosen selkään||||||
Muarij|hn. dem.|Muariine|Muar'iin'e (kansanr.)|Мария, Мариюшка|Maaria|n'eiduin'e Muar'iin'e nouz' hebol'e raccahiil'e (OFMa) loits.|девушка Мариюшка села на лошадь верхом|neitonen Maaria nousi hevosen selkään||||||
|hn.|Muarij|Muar'ij, -an, -ad (OFMa, kansanr.)|Мария|Maaria|||||||||
Muarij|hn.|Mard'a|Mard'a, -n, -d|Марья, Мария|Marja, Maria|anda Mard’ale t'ervhut! loits.|дай Марье здоровья!|anna Marjalle terveyttä!||||||
Muarij, Mard'a|hn.|Marija|Mar'ija, -n, -d|Мария|Maria|Mar'ija tul'ii sinne, kus ol'ii Iisus i n'ägišt’ hänt, langen d’auguuhe hänen (ND) kirj.|Мария же, пришедши туда, где был Иисус, и увидевши его, пала к ногам его|Maria tuli sinne, jossa Iisus oli ja nähtyään hänet Maria vaipui hänen jalkoihinsa||||||
|hn.|Marija||||ezmaažen päivän n’edal’id Mar’ija Magdal’ina tul’ii groban no aiguuš (ND) kirj.|в первый день недели Мария Магдалина пришла ко гробу рано|viikon ensimmäisenä päivänä Magdalan Maria tuli varhain haudalle||||||
|hn.|Magdalin|Magdal'ina, -n, -d (ND)|Магдалина|Magdaleena, Magdalan|Mar'ija tul'ii sinne, kus ol'ii Iisus i n'ägišt’ hänt, langen d’auguuhe hänen (ND) kirj.|Мария же, пришедши туда, где был Иисус, и увидевши его, пала к ногам его|Maria tuli sinne, jossa Iisus oli ja nähtyään hänet Maria vaipui hänen jalkoihinsa||||||
terveheks, tervehuded|s.|tervehuz|t’ervhu/z ~ -z’ (KTK), -den, -t; -z’iin, -z’iid|здоровье; привет, поклон|terveys; tervehdys, kumarrus|anda Mard’ale t'ervhut! loits.|дай Марье здоровья!|anna Marjalle terveyttä!||||||
|s.|tervehuz||||sanu t’ervhuz’iid!|передай привет!|kerro terveisiä!||||||
|s.|raccar’|ricar’|рыцарь|ritari|||||||||
|s.|räččin|r’äččin|женская рубашка, сорочка|paita (naisten), aluspaita|||||||||
|s.|radiacij|rad’iacij, -an, -ad|радиация|radiaatio, säteily|||||||||
|s.|radiator|rad’iator, -an, -ad|радиатор|radiaattori, patteri; jäähdytin|||||||||
|s.|radiv|rad’i/o, -on, -od; -uun, -uud|радио|radio|||||||||
|s.|radius|rad’ius, -an, -ad|радиус|radius, säde|||||||||
|s.|ragiž|rag/iž, -ehen, -išt; -ehiin, -ehiid|град|rae|||||||||
|a.|rahmannoi|rahmann/ij, -uun, -uud |радушный, рачительный, гостеприимный|vieraanvarainen|meid'en rahvaz om n'inkuin'e rahmannii (KTK)|наш народ такой гостеприимный|meidän kansamme ovat niin vieraanvarainen||||||
|s.|rahnond|rahnond, -an, -ad|жатва|leikkuu|||||||||
|s. yhd.|rahnondaig|rahnond/aig|время жатвы|leikkuuaika|||||||||
|s. yhd.|rahtpiirag|raht/piirag|ватрушка|rahkapiirakka|||||||||
|a.|rahvahakaz|rahvaka/z, -han, -st; -hiin, -hiid (IL)|многолюдный|väkirikas|||||||||
|s.|rahvahan-|rahvhan- ~ rahvan- ~ rahvahan-|народный|kansan-|||||||||
|s.|raid|raid, -an, -ad; -uun, -uud|ракита, ива|raita, paju|raidan barb|ветка ракиты|raidan varpu||||||
Birboi|s. yhd.|raidanbarb|raidam/barb (OFM)|ивовая ветка, вербная ветка|raidanvarpu, pajunavarpu|||||||||
|a.|raidaine|raida/an’e, -ažen, -št; -ažiin, -ažiid|ивовый|raita-, paju-|||||||||
|s.|raikom|raikom, -an, -ad|райком|piirikomitea|||||||||
sovet|s. yhd.|raisovet|raisovet, -an, -ad|райсовет|alueneuvosto|||||||||
kruugandälg, raiživ|s.|raiž|raiž (KTK)|колея|raide, pyöränraide|||||||||
|s.|raja|raj/a, -an, -ad; -uun, -uud|межа|raja|||||||||
|s.|raket|raket, -an, -ad|ракета|raketti, ohjus|||||||||
|s.|raketk|raketk, -an, -ad|ракетка|tennismaila|||||||||
|a.|raketnoi|raketn/ij, -uun, -uud |ракетный|raketti-|||||||||
|s.|rakk|ra/kk, -kan, -kkad; -kuun, -kuud|рак|rapu|d’oges ol’ii ül’en äi rakuud|в реке было очень много раков|joessa oli hyvin paljon rapuja||||||
|s.|rakovin|rakovin, -an, -ad|раковина|simpukka; allas|||||||||
ramk|s.|ruam|rama, -n, -d|рама|raami, kehys|||||||||
|a.|ramb|ramb, -an, -ad|хромой|rampa, ontuva|||||||||
|s.|rambičend|rambičend, -an, -ad|хромота|rampuus, ontuvaisuus|||||||||
|v.|rambita|rambi/ta, -čob, -č ~ -čii; -taze, -t’ihe|хромать, ковылять, прихрамывать|ontua|||||||||
|v.|räpištuda|r’äpištu/da, -b, -i; -taze, -t’ihe|вянуть|kuihtua|||||||||
|a.|räpištunu|r’äpištunu, -den, -t; -z’iin, -z’iid|вялый|kuihtunut|||||||||
|s.|rashod|rashod, -an, -ad|расход|menot, kulut|||||||||
saneluz, starin|s.|raskaz|raskaz, -an, -ad; -uun, -uud|рассказ|kertomus|||||||||
|s. mon.|raskopkad|raskopk/ad, -uun, -uud|раскопки|kaivaukset|||||||||
programm|s.|raspisanij|raspisan'ij, -an, -ad|расписание|aikataulu|||||||||
|s.|raspisk|raspisk, -an, -ad|расписка|kuitti|||||||||
|v.|rasprida|raspr'i/da, -b, -i; -taze, -t'ihe (ND)|распинать, распнуть|ristiinnaulita|raspr'i, raspr'i hänt! (ND) kirj.|распни, распни его!|ristiinnaulitse, ristiinnaulitse hänet!||||||
|v.|rasprida||||otkat hänt i raspr'igat (ND) kirj.|возмите его и распните|ottakaa hänet ja ristiinnaulitkaa||||||
|s.|rastvor|rastvor, -an, -ad|раствор|liuos; laasti|||||||||
raud|s. mon.|raudad|raud/ad, -uun, -uud|оковы, удила|kahleraudat (IL), kuolaimet|panda raudad (KTK)|положить удила, взнуздать|panna kuolaimet||||||
raudaine|a.|raudahine|raudahi/in’e, -ižen, -št; -ižiin, -ižiid|железный|rautainen, rauta-|||||||||
|s. yhd.|raudpäčiine|raut/päčiin’e|буржуйка|valurautakamiina|||||||||
|s.|raudpada|raut/pada|чугунок|rautapata|||||||||
|s.|raund|raund, -an, -ad|раунд|erä|||||||||
itkeda, mälišta, ringuda, rängüda, röngüda, ulaita, ulišta, vonguda|v.|ravišta|ravi/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|реветь|kiljua|||||||||
|s.|ravu|ravu, -n, -d; -in, -id|рёв|kiljunta|||||||||
|s.|razboinik|razbuun'ik ~ razbaan’ik (IL), -an, -ad|разбойник|rosvo|||||||||
|s.|razdevalk|razd’evalk, -an, -ad|раздевалка|pukuhuone|||||||||
|s.|razigriš|raz’igriš, -an, -ad|розыгрыш|arvonta, kilpailu|||||||||
|s.|razmer|razmer, -an, -ad|размер|koko|||||||||
|s.|razr’ad|razr’ad, -an, -ad|разряд|luokka|||||||||
|v.|razvaduda|razvdu/da, -b, -i; -taze, -t’ihe|жиреть|rasvoittua, lihoa|||||||||
suar, tiesuar|s.|razvilk|razvilk, -an, -ad|развилка|haara, haarautuma|||||||||
|s.|reakcij|r'eakcij, -an, -ad|реакция|reaktio|||||||||
|s.|reaktor|reaktor, -an, -ad|реактор|reaktori|||||||||
|a.|rebinnu|r’ebinu, -den, -t; -z’iin, -z’iid|рваный|repaleinen, rikkinäinen|||||||||
|a.|rebiteltu|rebitel'du/d, -n, -d; -in, -id|изорванный|repaleinen|||||||||
katkaita|v.|rebittada|rebi/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|рвать, порвать, оторвать, изорвать, оборвать|repiä|rebitada soba (KTK)|оборвать одежду|repiä vaatteet||||||
|s.|recenzij|r’ecenz’ij, -an, -ad|рецензия|arvostelu|||||||||
|s.|recept|r’ecept, -an, -ad|рецепт|resepti|||||||||
toimittaj|s.|redaktor|r’edaktor, -an, -ad|редактор|toimittaja|||||||||
redukaz|a.|reduhine|reduhi/in’e, -ižen, -št; -ižiin, -ižiid|грязный, нечистый, чумазный, |likainen|||||||||
reduhine|a.|redukaz|reduka/z, -han, -st; -hiin, -hiid|грязный, нечистоплотный|likainen, epäpuhdas|||||||||
uudištuz|s.|reform|r’eform, -an, -ad|реформа|reformi|||||||||
|s.|regat|r’egat, -an, -ad|регата|purjehduskilpailu|||||||||
|s.|regi-|regi-|санный|reki-|||||||||
vastahotand |s.|registratuur|r’egistratur, -an, -ad|регистратура|kirjaamo|||||||||
|s.|reid|r’eid, -an, -ad|рейд|retki, partioretki; reti|||||||||
|s.|reklam|r’eklama, -n, -d|реклама|mainos|||||||||
|s.|rekord|r’ekord, -an, -ad|рекорд|rekordi, ennätys|||||||||
|s.|rektor|r’ektor, -an, -ad|ректор|rehtori|||||||||
uskond|s.|religij|r’el’igij, -an, -ad|религия|uskonto|||||||||
|s. mon.|relsad|r’el’s/ad, -uun, -uud|рельсы|kiskot|||||||||
|s. dem.|remenine|r’emen’i/in’e, -ižen, -št; -ižiin, -ižiid|ремешок|nahkavyö (pieni)|||||||||
|s.|remont|r’emont, -an, -ad|ремонт|remontti|||||||||
|s.|rengen|r’engen, -an, -ad|рентген|röntgen, keuhkokuva|||||||||
|s.|repertuar|r’epertuar, -an, -ad|репертуар|repertoaari, ohjelmisto|||||||||
|s.|reportaž|r’eportaž, -an, -ad|репортаж|reportaasi, selostus|||||||||
|s.|reproduktor|r’eproduktor, -an, -ad|репродуктор|kaiutin|||||||||
|s.|reputacij|r’eputacij, -an, -ad|репутация|maine|||||||||
|s.|rešotk|r’ešotk, -an, -ad|решётка|ristikko|||||||||
|s. mon.|ressorad|r’essor/ad, -uun, -uud|рессоры|joustimet, resorit|||||||||
|s.|restoran|r’estoran, -an, -ad|ресторан|ravintola|||||||||
piirdaj|s.|resuiččij|resuičij, -an, -ad|художник|taiteilija, piirustaja|||||||||
piirta|v.|resuida|r’esu/ida, -ib, -i; -itaze, -it'ihe|рисовать|piirtää, piirustaa|||||||||
kuva, piirduz|s.|resunk|r’esunk, -an, -ad|рисонок|piirustus, piirros, kuva|||||||||
vara|s. mon.|resursad|r’esursad|ресурсы|varat|||||||||
|s.|revol’ucioner|r’evol’ucion’er, -an, -ad|революционер|vallankumouksellinen|||||||||
leikkaduz|s.|rezb|r’ez’b, -an, -ad|резьба|kuvanleikkaus, veiste; kierre|||||||||
|s.|rezerv|r’ez’erv, -an, -ad|резерв|reservi|||||||||
|s.|režim|r’ežim, -an, -ad|режим|hallitustapa; järjestys|||||||||
|s.|rezol’ucij|r’ezol’ucij, -an, -ad|резолюция|resoluutio|||||||||
|s.|riähk|r’iähk, -an, -ad (IL)|грех|räähkä, synti|||||||||
|s.|riäpöi|r’iäpuu, -n, -d|ряпушка|muikku|||||||||
|v.|ribaidoittada|ribaaduu/tta, -tab, -t’ ~ -t’ii|всыпать, засыпать|täyttää|||||||||
ribaidoittada, ribaittada|v.|riboittada|ribuu/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|посыпать|ripottaa|||||||||
ribud|s.|ribu|ribu, -n, -d; -in, -id|тряпка|riepu, räsy, rätti|||||||||
ribu|s. mon.|ribud|ribu/d, -in, -id|тряпьё, лохмотья|rievut, räsyt, rätit|||||||||
ribuikaz|a.|ribuhine|ribuhi/in’e, -ižen, -št; -ižiin, -ižiid|оборванный, разодраный|repaleinen, risainen|||||||||
|s.|riehtil|r’iehtil ~ riehtil (KTK)|сковорода|paistinpannu|||||||||
šiižm|s. yhd.|riehtilpualik|r’iehtil- ~ riehti/pual'ik (KTK)|сковородник, съёмная ручка|riehtilän irtovarsi|r’iehtilpual'ik ottaze irdal'e|ручку отсоединяют (от сковороды)|varsi irrotetaan (riehtilästä)||||||
|s.|rifm|r’ifm, -an, -ad|рифма|loppusointu|||||||||
|s.|riibaiduz|riibaatu/z, -sen, -st; -s’iin, -s’iid  (IL)|царапина|naarmu|||||||||
riibaiduz, riibitez|s.|sarapin|sarapiin, -an, -ad; -uun, -uud (KTK)|царапина|naarmu|||||||||
|v.|riibida|rii/pta, -bib, -bii; -ptaze, -pt'ihe|царапать; обрывать|riipiä, raapia, repiä, kynsiä|||||||||
kündžida, riibida |s.|sarapida|sarapi/da, -b, -i; -taze, -t'ihe (KTK)|царапать; обрывать|raapia, raaputtaa, kynsiä|||||||||
|v. frekv.|riibitelta|riibite/l’da ~ r’iipte/l’da, -l’ob, -l’ ~ -l’ii|царапаться|raaputella|||||||||
|v.|riiččida|r'iič/ta ~ riič/ta, -ib, -ii; -taze, -t’ihe|разбирать, разобрать; пороть, распарывать, распороть, отпарывать, отпороть, раздирать, разодрать; расплетать|ratkoa, purkaa, aukoa, repiä, päästellä, päästää siteestä|riičkat hänt! (ND) kirj.|развяжите его!|päästäkää hänet siteistä!||||||
|v.|riiččida||||hänen tuatan kod’i om r’iičtud|дом его отца разобран|hänen isänsä talo on purettu||||||
|v.|riiččida||||d’er’ein’am per’t’id oma riičtut kaik irdal’e|все избы деревни разобраны прочь|kaikki kylän pirtit on purettu pois||||||
|v.|riiččida||||em rubekuu r’iičmaha havadod (ND) kirj.|не станем раздирать мешок|ei revitä säkkiä||||||
|s.|riidač|r’iidač, -un, -ud; -uin, -uid|забияка|riitapukari, tappelupukari, pukari|||||||||
riidelič|a.|riidakaz|r’iidaka/z, -han, -st; -hiin, -hiid|сварливый|riitaisa|||||||||
|s.|rikkikoiraine|r’ikki/koiraan’e|шавка|rakki|||||||||
|s.|rikk|r'i/kki, -kin, -kkid|||||||||||
|s. yhd.|rikkimall'|r'ikki/mal'l'(a)||keskisormi (lastenlorussa, Kj)|||||||||
|s.|rikkoj|rikoj, -an, -ad|убийца|tappaja, murhaaja|||||||||
tapand|s.|rikond|rikond, -an, -ad|убийство|tappo, murha|||||||||
|s.|kodi||||kod'i om rindal (KTK)|дом рядом|talo on vieressä||||||
|s.|kodi||||kacu mägüčal hänen kod'i! (KTK)|вон на пригорке его дом!|katsos kummulla on hänen talonsa!||||||
|s.|kodi||||hänen tuatan kod’i om r’iičtud|дом его отца разобран|hänen isänsä talo on purettu||||||
|s.|kodi||||puu kazvab kod'in rindal (KTK)|дерево растёт около дома|puu kasvaa talon vieressä||||||
|s.|kodi||||mia ol’en l’äs kod’id (KTK)|я недалеко от дома|minä olen lähellä kotia||||||
|adv.-postp.|rindal||||kod'i om d'ärven rindal (KTK)|дом рядом с озером|talo on järven vieressä||||||
|adv.-postp.|rindal||||puu kazvab kod'in rindal (KTK)|дерево растёт около дома|puu kasvaa talon vieressä||||||
|adv.-postp.|rindal||||kod’in rindal koiv kazvab (KTK)|около дома берёза растет|talon vieressä kasvaa koivu||||||
|v.|kazvada||||puu kazvab kod'in rindal (KTK)|дерево растёт около дома|puu kasvaa talon vieressä||||||
|v.|kazvada||||kod’in rindal koiv kazvab (KTK)|около дома берёза растет|talon vieressä kasvaa koivu||||||
|s.|puu||||puu kazvab kod'in rindal (KTK)|дерево растёт около дома|puu kasvaa talon vieressä||||||
|s.|koiv||||kod’in rindal koiv kazvab (KTK)|около дома берёза растет|talon vieressä kasvaa koivu||||||
|s.|därv||||kod'i om d'ärven rindal (KTK)|дом рядом с озером|talo on järven vieressä||||||
|s.|rinduz|rindu/z, -sen, -st; -s’iin, -s’iid|супонь|rinnustin|vedada rinduz|затянуть супонь|kiristää rinnustin||||||
